Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numericalintegralservice/0.0/3.14159,2399,0,400.0,640.7800605564937,253.09875799939618,5706.409841997811,320.0,14.211884739401867,0.0,400,570,690,780,1200,1800,3300,4100,5400,5700,5700
,Aggregated,2399,0,400.0,640.7800605564937,253.09875799939618,5706.409841997811,320.0,14.211884739401867,0.0,400,570,690,780,1200,1800,3300,4100,5400,5700,5700
