Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0.0/3.14159,404,0,18000.0,17755.43164628701,688.2925030004117,25124.784097002703,292.0,2.4411336010015265,0.0,18000,19000,20000,21000,22000,23000,24000,25000,25000,25000,25000
,Aggregated,404,0,18000.0,17755.43164628701,688.2925030004117,25124.784097002703,292.0,2.4411336010015265,0.0,18000,19000,20000,21000,22000,23000,24000,25000,25000,25000,25000
