Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0.0/3.14159,809,0,7800.0,7666.6308889345,200.17300800009252,14773.183088999758,292.0,4.7129901502480305,0.0,7800,9000,9700,10000,11000,12000,13000,14000,15000,15000,15000
,Aggregated,809,0,7800.0,7666.6308889345,200.17300800009252,14773.183088999758,292.0,4.7129901502480305,0.0,7800,9000,9700,10000,11000,12000,13000,14000,15000,15000,15000
